q,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172
0.00347619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00385136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00422652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00460169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00497686,444.906,426.958,443.296,356.089,396.9,415.742,397.587,338.587,297.276,429.505,443.677,429.771,474.227,402.724,334.619,455.116,393.577,395.625,446.108,428.829,382.166,393.65,477.869,440.026,391.137,417.601,353.013,408.661,533.714,368.442,381.414,423.948,376.158,453.867,537.778,403.018,412.022,500.251,433.453,423.55,462.725,488.11,456.287,487.532,506.384,467.387,466.376,419.539,546.877,516.737,517.126,467.232,539.646,541.453,588.068,540.695,656.068,553.777,581.1,639.811,766.669,701.579,772.64,647.861,757.626,803.719,765.136,773.369,920.4,1049.55,900.657,1003.27,994.298,1051.2,1104.45,1084.82,1174.76,1136.31,1236.48,1271.94,1215.1,1357.62,1361.3,1431.93,1557.99,1428.37,1396.82,1520.42,1617.72,1713.19,1639.15,1883.53,1828.36,1783.82,1923.31,1931.53,1926.63,2139.8,2006.99,2195.8,2111.4,2214.86,2237.75,1960.65,2340.32,2498.75,2332.71,2425.07,2551.39,2570.1,2624.45,2657.64,2452.8,2592.93,2743.14,2605.75,2923.81,2898.79,2805.63,2783.21,2681.56,2880.94,2850.57,3059.76,2899.27,3134.71,3195.99,3180.62,3055.61,3157.44,3095.82,3199.06,3097.67,3318.18,3242.45,3192.39,3225.77,3366.56,3420.64,3314.2,3254.17,3173.5,3265.21,3409.72,3348.97,3416.32,3490.9,3385.19,3571.67,3443.48,3573.65,3434.99,3457.14,3379.31,3609.49,3599.22,3544.65,3470.49,3550.75,3521.19,3572.09,3534.53,3794.31,3387.74,3566.24,3594.21,3416.58,3509.82,3515.19,3514.13,3648.78,3513.19
0.00535202,328.734,419.174,388.781,394.044,423.57,429.371,367.312,405.197,344.766,461.44,339.16,382.199,442.411,370.382,441.195,407.745,397.295,362.137,500.947,433.757,387.386,463.475,353.157,374.92,368.296,419.225,406.408,415.781,361.109,413.425,374.587,417.699,366.228,454.843,433.078,373.879,365.265,422.228,402.133,417.569,494.92,430.829,438.676,450.67,456.897,432.495,519.944,453.428,543.886,442.084,527.556,481.156,556.834,619.269,542.872,602.814,526.991,705.318,603.297,665.414,665,633.961,665.888,731.86,740.285,833.676,811.574,771.325,896.536,852.769,939.304,955.71,947.478,970.614,1018.21,1005.04,1071.28,1173.43,1190.37,1209.56,1120.53,1288.85,1242.04,1302.07,1382.28,1483.95,1383.58,1593.16,1482.28,1646.79,1666.14,1657.04,1597.36,1689.4,1744.85,1856.45,1804.21,1852.52,1874.25,1910.3,1901.03,1975.91,1994,2151.37,2055.05,2183.89,2086,2246.9,2295.52,2303.84,2308.07,2354.68,2371.39,2398.61,2438.6,2429.17,2401.15,2536.26,2424.54,2496.1,2668.96,2598.54,2716.75,2714.45,2727.47,2638.36,2725,2827.94,2788.8,2763.7,2832.43,2851.08,2930.41,3016.42,2970.56,2904.75,3000.45,3100.46,2935.19,2951.24,3108.29,3078.05,3052.12,3041.86,3168.48,3095.9,2991.18,3076.09,3155.83,3159.49,3202.18,3040.04,3180.25,3230.34,3157.94,3175.22,3244.08,3150.54,3303.94,3227.02,3245.11,3078.18,3301.81,3290.59,3161.79,3195.82,3290.24,3216.75,3220.01,3080.24,3251.01,3236.62
0.00572719,261.304,396.538,415.017,419.651,392.078,334.856,411.78,375.625,408.888,379.621,392.294,385.636,387.473,385.363,409.544,415.339,392.584,411.353,453.856,425.056,410.635,441.853,387.111,449.737,443.259,381.229,397.065,402.698,430.933,390.836,443.238,392.717,370.755,393.558,430.451,421.682,432.405,428.808,400.402,398.874,445.229,464.703,396.028,485.012,499.714,450.458,472.382,491.788,423.994,499.721,505.473,511.88,541.354,458.059,507.811,572.791,519.785,589.666,530.439,561.946,664.069,612.61,698.691,643.367,688.056,708.24,766.38,778.339,822.247,739.994,849.514,870.372,883.215,985.103,973.85,877.263,960.134,957.786,1024.06,1065.94,1090.04,1229.46,1170.28,1197.51,1208.69,1358.79,1296.44,1380.44,1345.02,1400.39,1442.44,1442.09,1483.4,1513.25,1539.63,1564.02,1673.58,1616.21,1653.78,1705.47,1715.96,1755.88,1772.34,1790.62,1859.9,1953.02,1988.98,1969.29,2022.43,2025.51,2019.95,1984.5,2074.4,2145.96,2129,2161.62,2244.77,2205.7,2285.06,2376.11,2314.88,2486.07,2355.57,2448.48,2382.77,2426.55,2443.06,2380.83,2441.4,2407.33,2459.47,2603.34,2543.73,2497.48,2616.82,2611.12,2562.74,2695.99,2628.87,2691.74,2670.8,2557.45,2681.75,2670.38,2686.62,2704,2701.41,2722.29,2802.81,2789.15,2757.65,2740.99,2863.82,2778.33,2742.77,2798.39,2834.82,2854.15,2869.34,2900.99,2853.91,2893.57,2895.21,2918,2937.31,2852.49,2823.19,2936.29,2932.19,2783.74,2845.22,3023.01
0.00610236,263.198,379.268,389.889,398.817,365.497,404.588,373.373,377.944,371.112,393.026,377.578,353.812,372.387,395.665,364.363,374.93,417.29,409.442,446.176,418.968,379.082,398.866,442.617,346.478,381.601,446.963,409.06,423.673,396.055,411.253,429.268,393.233,406.37,419.512,380.498,389.26,440.131,415.499,403.829,424.294,420.783,376.999,427.337,444.932,438.938,426.931,434.702,436.427,449.284,487.095,482.61,506.025,494.142,467.573,470.473,489.029,546.329,523.749,551.931,560.906,559.789,590.251,638.564,604.543,677.222,652.89,708.296,720.4,757.73,734.018,725.448,796.477,828.733,821.36,833.989,819.815,926.663,943.169,963.634,1018.06,1031.09,1025.08,963.074,1110.58,1122.7,1122.59,1147.6,1222.45,1182.77,1271.37,1325.96,1315.07,1343.37,1372.22,1419.86,1387.19,1441.9,1490.06,1548.47,1591.88,1526.63,1621.17,1596.23,1636.25,1648.1,1683.32,1716.82,1725.67,1793.92,1807.02,1723.65,1802.56,1866.34,1858.04,1861.99,1919.23,1932.25,1945.63,1982.62,2060.86,1966.05,2024.67,2150.77,2051.1,2095.51,2131.86,2123.75,2160.05,2126.51,2072.83,2134.22,2253.98,2328.69,2253.33,2316.14,2288.04,2275.06,2390.89,2371.71,2344.71,2361.33,2317.62,2341.5,2404.43,2366.12,2339.9,2433.06,2400.39,2459.95,2441.18,2388.48,2422.03,2486.92,2392.66,2504.44,2506.19,2449.36,2419.21,2506.83,2468.92,2567.35,2508.98,2500.34,2549.74,2505.9,2420.59,2514.34,2541.45,2507.75,2461.45,2463.69,2499.56
0.00647753,214.957,379.473,401.544,386.964,368.819,380.257,369.369,371.707,415.611,407.925,388.657,386.949,394.108,374.002,395.212,395.782,356.617,428.724,370.135,390.27,390.004,381.057,416.944,337.96,373.212,392.935,428.346,357.492,402.332,377.357,419.187,405.782,393.774,397.88,374.605,371.793,411.128,403.196,381.956,409.944,399.622,404.175,413.282,433.317,442.83,391.482,432.43,458.399,442.604,467.175,486.398,425.323,444.94,450.159,484.951,467.138,480.033,519.893,500.667,530.772,604.154,575.69,594.854,611.812,600.638,658.448,653.562,671.059,689.236,664.835,732.153,808.799,754.435,755.561,819.909,847.105,833.884,854.74,860.661,897.155,914.399,929.24,981.196,1037.28,994.007,1035.01,1045.68,1139.96,1113.71,1108.56,1197.58,1199.68,1255.56,1224.45,1289.44,1290.34,1279.49,1377.17,1366.2,1402.23,1367.9,1396.16,1444.29,1516.18,1496.54,1586.7,1548.3,1595.63,1585.66,1587.32,1650.37,1629.89,1695.67,1664.42,1641.89,1715.34,1768.27,1866.64,1797.6,1803.97,1744.06,1880.21,1859.37,1802.93,1962.59,1859.63,1923.19,1985.65,1926.75,2047.42,1929.68,1954.05,1982.85,1979.99,2071.03,2054.56,2085.21,2058.7,2078.38,2091.43,2160.04,2077.77,2110.06,2130.92,2133.42,2194.89,2079.37,2079.06,2142.61,2188.5,2191.09,2208.24,2203.08,2171.01,2149.2,2194.28,2245.41,2194.97,2248.36,2234.42,2216.39,2287.26,2231.84,2251.96,2227.88,2272.52,2271.26,2267.68,2318.93,2203.77,2257.73,2202.45
0.00685269,166.115,407.04,358.627,372.503,337.186,393.317,352.327,387.879,386.192,398.265,339.956,377.271,379.338,371.052,410.699,368.226,371.98,428.645,391.223,384.296,390.379,362.601,384.215,400.178,424.442,386.105,385.866,390.67,386.028,376.609,406.668,391.2,415.661,442.881,393.08,416.75,387.477,430.791,378.578,384.859,411.935,423.737,408.207,395.471,454.74,422.027,442.357,428.524,432.972,431.53,427.976,418.801,493.69,476.892,503.737,511.59,513.655,521.878,520.101,516.785,550.923,556.222,544.849,588.023,558.801,553.588,598.051,626.515,643.552,628.417,669.754,672.71,730.287,743.791,713.97,755.653,770.729,816.789,862.375,871.526,903.794,837.294,905.553,892.989,914.679,993.704,941.774,1024.16,1017.83,975.621,1036.59,1067.25,1144.1,1177.5,1163.45,1165.28,1191.94,1188.76,1263.37,1238,1290.53,1334.1,1345.83,1283.25,1399.87,1407.02,1431.48,1455.16,1376.23,1480.46,1460.4,1497.84,1512.3,1512.55,1512.55,1566.84,1510.67,1589.87,1617.11,1622.15,1597.17,1656.75,1658.32,1664.1,1721.84,1703.03,1763.53,1727.44,1741.21,1704.36,1782.26,1799.81,1816.14,1779.01,1868.01,1810.55,1843.29,1846.68,1848.79,1868.14,1871.8,1915.24,1837.97,1879.8,1887.77,1914.61,1922.49,1910.72,1913.63,1929.91,1902.85,1946.74,1934.89,1963.28,2040.91,1981.07,1969.46,1982.77,1905.48,2024.83,2008.47,2010.47,2010.96,1972.63,1975.54,2022.66,2028.35,2034.64,2121.63,1899.75,2044.63,2105.21
