# Chi2 Rg SupportVolume
6.34955e+03 1.82604e+02 2.20932e+07
2.58824e+03 1.59947e+02 2.20932e+07
2.58741e+03 1.58139e+02 2.20932e+07
2.54847e+03 1.59078e+02 2.20932e+07
2.51492e+03 1.60080e+02 2.20932e+07
2.48648e+03 1.60074e+02 2.20932e+07
2.46001e+03 1.60071e+02 2.20932e+07
2.43426e+03 1.60284e+02 2.20932e+07
2.40834e+03 1.60301e+02 2.20932e+07
2.38211e+03 1.60362e+02 2.20932e+07
2.35540e+03 1.60435e+02 2.20932e+07
2.32909e+03 1.60320e+02 2.20932e+07
2.30268e+03 1.59969e+02 2.20932e+07
2.27798e+03 1.59483e+02 2.20932e+07
2.25447e+03 1.59001e+02 2.20932e+07
2.23186e+03 1.58542e+02 2.20932e+07
2.21079e+03 1.58080e+02 2.20932e+07
2.18956e+03 1.57651e+02 2.20932e+07
2.16845e+03 1.57140e+02 2.20932e+07
2.14827e+03 1.56557e+02 2.20932e+07
2.12826e+03 1.55920e+02 2.27009e+06
2.10847e+03 1.29260e+02 2.27009e+06
3.61715e+03 1.34865e+02 2.27009e+06
4.12202e+03 1.35847e+02 2.27009e+06
4.18080e+03 1.36517e+02 2.27009e+06
4.16821e+03 1.36995e+02 2.27009e+06
4.12384e+03 1.37371e+02 2.27009e+06
4.06355e+03 1.37661e+02 2.27009e+06
3.99278e+03 1.37856e+02 2.27009e+06
3.91682e+03 1.37976e+02 2.27009e+06
3.83855e+03 1.38056e+02 2.27009e+06
3.76022e+03 1.38076e+02 2.27009e+06
3.68288e+03 1.38039e+02 2.27009e+06
3.60768e+03 1.37957e+02 2.27009e+06
3.53429e+03 1.37839e+02 2.27009e+06
3.46326e+03 1.37698e+02 2.27009e+06
3.39420e+03 1.37534e+02 2.27009e+06
3.32777e+03 1.37342e+02 2.27009e+06
3.26429e+03 1.37123e+02 2.27009e+06
3.20281e+03 1.36885e+02 2.27009e+06
3.14289e+03 1.36630e+02 1.69453e+06
3.08516e+03 1.35676e+02 1.69453e+06
2.29634e+03 1.33366e+02 1.69453e+06
2.44321e+03 1.33286e+02 1.69453e+06
2.42788e+03 1.33141e+02 1.69453e+06
2.40605e+03 1.32961e+02 1.69453e+06
2.38105e+03 1.32761e+02 1.69453e+06
2.35431e+03 1.32544e+02 1.69453e+06
2.32688e+03 1.32322e+02 1.69453e+06
2.29940e+03 1.32089e+02 1.69453e+06
2.27201e+03 1.31846e+02 1.69453e+06
2.24466e+03 1.31594e+02 1.69453e+06
2.21729e+03 1.31334e+02 1.69453e+06
2.18991e+03 1.31067e+02 1.69453e+06
2.16279e+03 1.30795e+02 1.69453e+06
2.13585e+03 1.30519e+02 1.69453e+06
2.10914e+03 1.30246e+02 1.69453e+06
2.08297e+03 1.29975e+02 1.69453e+06
2.05737e+03 1.29704e+02 1.69453e+06
2.03220e+03 1.29426e+02 1.69453e+06
2.00719e+03 1.29144e+02 1.36055e+06
1.98241e+03 1.28850e+02 1.36055e+06
1.51750e+03 1.21762e+02 1.36055e+06
1.61318e+03 1.21516e+02 1.36055e+06
1.60785e+03 1.21245e+02 1.36055e+06
1.59752e+03 1.20971e+02 1.36055e+06
1.58460e+03 1.20697e+02 1.36055e+06
1.57043e+03 1.20425e+02 1.36055e+06
1.55556e+03 1.20153e+02 1.36055e+06
1.54037e+03 1.19881e+02 1.36055e+06
1.52498e+03 1.19613e+02 1.36055e+06
1.50949e+03 1.19347e+02 1.36055e+06
1.49413e+03 1.19082e+02 1.36055e+06
1.47888e+03 1.18819e+02 1.36055e+06
1.46373e+03 1.18557e+02 1.36055e+06
1.44862e+03 1.18295e+02 1.36055e+06
1.43359e+03 1.18031e+02 1.36055e+06
1.41875e+03 1.17766e+02 1.36055e+06
1.40400e+03 1.17502e+02 1.36055e+06
1.38937e+03 1.17240e+02 1.36055e+06
1.37502e+03 1.16976e+02 1.11759e+06
1.36090e+03 1.15191e+02 1.11759e+06
9.64072e+02 1.11155e+02 1.11759e+06
1.06478e+03 1.10681e+02 1.11759e+06
1.05818e+03 1.10347e+02 1.11759e+06
1.04816e+03 1.10069e+02 1.11759e+06
1.03747e+03 1.09815e+02 1.11759e+06
1.02679e+03 1.09574e+02 1.11759e+06
1.01636e+03 1.09348e+02 1.11759e+06
1.00639e+03 1.09130e+02 1.11759e+06
9.96614e+02 1.08913e+02 1.11759e+06
9.87058e+02 1.08700e+02 1.11759e+06
9.77592e+02 1.08488e+02 1.11759e+06
9.68383e+02 1.08277e+02 1.11759e+06
9.59393e+02 1.08067e+02 1.11759e+06
9.50585e+02 1.07857e+02 1.11759e+06
9.42000e+02 1.07652e+02 1.11759e+06
9.33644e+02 1.07451e+02 1.11759e+06
9.25472e+02 1.07250e+02 1.11759e+06
9.17449e+02 1.07049e+02 1.11759e+06
9.09559e+02 1.06849e+02 9.16385e+05
9.01774e+02 1.01957e+02 9.16385e+05
4.20662e+02 9.05201e+01 9.16385e+05
5.05531e+02 9.06801e+01 9.16385e+05
4.99139e+02 9.07873e+01 9.16385e+05
4.94898e+02 9.08456e+01 9.16385e+05
4.91373e+02 9.08679e+01 9.16385e+05
4.88163e+02 9.08619e+01 9.16385e+05
4.85075e+02 9.08337e+01 9.16385e+05
4.82080e+02 9.07896e+01 9.16385e+05
4.79158e+02 9.07343e+01 9.16385e+05
4.76212e+02 9.06735e+01 9.16385e+05
4.73374e+02 9.06069e+01 9.16385e+05
4.70598e+02 9.05365e+01 9.16385e+05
4.67875e+02 9.04634e+01 9.16385e+05
4.65197e+02 9.03879e+01 9.16385e+05
4.62543e+02 9.03111e+01 9.16385e+05
4.59889e+02 9.02372e+01 9.16385e+05
4.57307e+02 9.01624e+01 9.16385e+05
4.54736e+02 9.00859e+01 9.16385e+05
4.52187e+02 9.00079e+01 7.99356e+05
4.49669e+02 8.52040e+01 7.99356e+05
2.79252e+02 7.94837e+01 7.99356e+05
2.87458e+02 7.97485e+01 7.99356e+05
2.93275e+02 7.98971e+01 7.99356e+05
2.95572e+02 7.99794e+01 7.99356e+05
2.95484e+02 8.00210e+01 7.99356e+05
2.94560e+02 8.00362e+01 7.99356e+05
2.93161e+02 8.00339e+01 7.99356e+05
2.91545e+02 8.00206e+01 7.99356e+05
2.89957e+02 8.00012e+01 7.99356e+05
2.88425e+02 7.99777e+01 7.99356e+05
2.86922e+02 7.99511e+01 7.99356e+05
2.85468e+02 7.99223e+01 7.99356e+05
2.84047e+02 7.98917e+01 7.99356e+05
2.82647e+02 7.98594e+01 7.99356e+05
2.81244e+02 7.98261e+01 7.99356e+05
2.79833e+02 7.97921e+01 7.99356e+05
2.78439e+02 7.97576e+01 7.99356e+05
2.77063e+02 7.97225e+01 7.99356e+05
2.75703e+02 7.96863e+01 7.13808e+05
2.74382e+02 7.43427e+01 7.13808e+05
1.98129e+02 6.06224e+01 7.13808e+05
2.33360e+02 6.07378e+01 7.13808e+05
2.34808e+02 6.08426e+01 7.13808e+05
2.32331e+02 6.09247e+01 7.13808e+05
2.28411e+02 6.09867e+01 7.13808e+05
2.24346e+02 6.10333e+01 7.13808e+05
2.20355e+02 6.10685e+01 7.13808e+05
2.16611e+02 6.10947e+01 7.13808e+05
2.13225e+02 6.11157e+01 7.13808e+05
2.10113e+02 6.11316e+01 7.13808e+05
2.07246e+02 6.11430e+01 7.13808e+05
2.04558e+02 6.11510e+01 7.13808e+05
2.02074e+02 6.11551e+01 7.13808e+05
1.99771e+02 6.11571e+01 7.13808e+05
1.97591e+02 6.11571e+01 7.13808e+05
1.95518e+02 6.11552e+01 7.13808e+05
1.93547e+02 6.11515e+01 7.13808e+05
1.91674e+02 6.11463e+01 7.13808e+05
1.89901e+02 6.11398e+01 6.57005e+05
1.88219e+02 4.52846e+01 6.57005e+05
9.50170e+01 -1.78338e+01 6.57005e+05
7.65577e+01 -1.65459e+01 6.57005e+05
7.71193e+01 -1.57255e+01 6.57005e+05
7.74922e+01 -1.50769e+01 6.57005e+05
7.70602e+01 -1.45595e+01 6.57005e+05
7.59706e+01 -1.41464e+01 6.57005e+05
7.43175e+01 -1.38076e+01 6.57005e+05
7.25260e+01 -1.35291e+01 6.57005e+05
7.08640e+01 -1.33020e+01 6.57005e+05
6.92383e+01 -1.31156e+01 6.57005e+05
6.76759e+01 -1.29633e+01 6.57005e+05
6.61660e+01 -1.28403e+01 6.57005e+05
6.47499e+01 -1.27319e+01 6.57005e+05
6.34453e+01 -1.26415e+01 6.57005e+05
6.22489e+01 -1.25678e+01 6.57005e+05
6.11889e+01 -1.25065e+01 6.57005e+05
6.02891e+01 -1.24563e+01 6.57005e+05
5.95141e+01 -1.24142e+01 6.57005e+05
5.88456e+01 -1.23785e+01 6.10467e+05
5.82541e+01 -1.98082e+01 6.10467e+05
1.91113e+01 -3.19340e+01 6.10467e+05
2.52509e+01 -3.15496e+01 6.10467e+05
1.99544e+01 -3.13557e+01 6.10467e+05
1.62214e+01 -3.12513e+01 6.10467e+05
1.37539e+01 -3.12042e+01 6.10467e+05
1.18883e+01 -3.11842e+01 6.10467e+05
1.04728e+01 -3.11755e+01 6.10467e+05
9.40566e+00 -3.11736e+01 6.10467e+05
8.68655e+00 -3.11748e+01 6.10467e+05
8.17145e+00 -3.11796e+01 6.10467e+05
7.80895e+00 -3.11859e+01 6.10467e+05
7.47598e+00 -3.11930e+01 6.10467e+05
7.17539e+00 -3.12002e+01 6.10467e+05
6.87748e+00 -3.12075e+01 6.10467e+05
6.59812e+00 -3.12147e+01 6.10467e+05
6.33538e+00 -3.12216e+01 6.10467e+05
6.05943e+00 -3.12300e+01 6.10467e+05
5.77082e+00 -3.12388e+01 6.10467e+05
5.51851e+00 -3.12473e+01 5.88567e+05
5.30714e+00 -3.21436e+01 5.88567e+05
5.51569e+00 -2.91000e+01 5.88567e+05
3.65293e+00 -2.90253e+01 5.88567e+05
3.19418e+00 -2.89893e+01 5.88567e+05
2.96365e+00 -2.89747e+01 5.88567e+05
2.83240e+00 -2.89704e+01 5.88567e+05
2.76114e+00 -2.89709e+01 5.88567e+05
2.69017e+00 -2.89739e+01 5.88567e+05
2.62636e+00 -2.89788e+01 5.88567e+05
2.56740e+00 -2.89846e+01 5.88567e+05
2.51035e+00 -2.89904e+01 5.88567e+05
2.45450e+00 -2.89962e+01 5.88567e+05
2.40139e+00 -2.90015e+01 5.88567e+05
2.35319e+00 -2.90064e+01 5.88567e+05
2.30783e+00 -2.90108e+01 5.88567e+05
2.26539e+00 -2.90146e+01 5.88567e+05
2.22587e+00 -2.90178e+01 5.88567e+05
2.19210e+00 -2.90206e+01 5.88567e+05
2.16929e+00 -2.90236e+01 5.88567e+05
2.14947e+00 -2.90261e+01 5.77617e+05
2.13248e+00 -2.90997e+01 5.77617e+05
2.10903e+00 -2.90083e+01 5.77617e+05
2.10485e+00 -2.90102e+01 5.77617e+05
2.09874e+00 -2.90114e+01 5.77617e+05
2.09149e+00 -2.90120e+01 5.77617e+05
2.08475e+00 -2.90121e+01 5.77617e+05
2.07807e+00 -2.90120e+01 5.77617e+05
2.07163e+00 -2.90115e+01 5.77617e+05
2.06537e+00 -2.90108e+01 5.77617e+05
2.05940e+00 -2.90098e+01 5.77617e+05
2.05354e+00 -2.90087e+01 5.77617e+05
2.04741e+00 -2.90073e+01 5.77617e+05
2.04111e+00 -2.90057e+01 5.77617e+05
2.03471e+00 -2.90040e+01 5.77617e+05
2.02816e+00 -2.90021e+01 5.77617e+05
2.02146e+00 -2.90000e+01 5.77617e+05
2.01460e+00 -2.89978e+01 5.77617e+05
2.00751e+00 -2.89955e+01 5.77617e+05
1.99961e+00 -2.89931e+01 5.77617e+05
1.99165e+00 -2.89906e+01 5.70089e+05
1.98356e+00 -2.89523e+01 5.70089e+05
2.22068e+00 -2.89751e+01 5.70089e+05
2.20565e+00 -2.89711e+01 5.70089e+05
2.18280e+00 -2.89676e+01 5.70089e+05
2.15959e+00 -2.89644e+01 5.70089e+05
2.13679e+00 -2.89614e+01 5.70089e+05
2.11480e+00 -2.89584e+01 5.70089e+05
2.09373e+00 -2.89554e+01 5.70089e+05
2.07384e+00 -2.89524e+01 5.70089e+05
2.05396e+00 -2.89494e+01 5.70089e+05
2.03514e+00 -2.89464e+01 5.70089e+05
2.01720e+00 -2.89433e+01 5.70089e+05
2.00004e+00 -2.89402e+01 5.70089e+05
1.99035e+00 -2.89382e+01 5.70089e+05
1.98304e+00 -2.89363e+01 5.70089e+05
1.97637e+00 -2.89344e+01 5.70089e+05
