# Chi2 Rg SupportVolume
6.27445e+03 1.60268e+02 2.20049e+07
2.58493e+03 1.51167e+02 2.20049e+07
2.59488e+03 1.55552e+02 2.20049e+07
2.54717e+03 1.58981e+02 2.20049e+07
2.50900e+03 1.60984e+02 2.20049e+07
2.47617e+03 1.62368e+02 2.20049e+07
2.44564e+03 1.63334e+02 2.20049e+07
2.41843e+03 1.64054e+02 2.20049e+07
2.39206e+03 1.64380e+02 2.20049e+07
2.36577e+03 1.64581e+02 2.20049e+07
2.33997e+03 1.64677e+02 2.20049e+07
2.31445e+03 1.64697e+02 2.20049e+07
2.28932e+03 1.64702e+02 2.20049e+07
2.26541e+03 1.64701e+02 2.20049e+07
2.24308e+03 1.64631e+02 2.20049e+07
2.22207e+03 1.64465e+02 2.20049e+07
2.20142e+03 1.64318e+02 2.20049e+07
2.18098e+03 1.64150e+02 2.20049e+07
2.16079e+03 1.63939e+02 2.20049e+07
2.14098e+03 1.63775e+02 2.20049e+07
2.12215e+03 1.63619e+02 3.17142e+06
2.10351e+03 1.42295e+02 3.17142e+06
5.59598e+03 1.42966e+02 3.17142e+06
6.43636e+03 1.43076e+02 3.17142e+06
6.42230e+03 1.43156e+02 3.17142e+06
6.37242e+03 1.43244e+02 3.17142e+06
6.30192e+03 1.43318e+02 3.17142e+06
6.21966e+03 1.43390e+02 3.17142e+06
6.12843e+03 1.43458e+02 3.17142e+06
6.03271e+03 1.43524e+02 3.17142e+06
5.93498e+03 1.43598e+02 3.17142e+06
5.83666e+03 1.43682e+02 3.17142e+06
5.73795e+03 1.43760e+02 3.17142e+06
5.64068e+03 1.43833e+02 3.17142e+06
5.54432e+03 1.43908e+02 3.17142e+06
5.44841e+03 1.43983e+02 3.17142e+06
5.35378e+03 1.44057e+02 3.17142e+06
5.26110e+03 1.44136e+02 3.17142e+06
5.17029e+03 1.44217e+02 3.17142e+06
5.08145e+03 1.44295e+02 3.17142e+06
4.99507e+03 1.44368e+02 2.24956e+06
4.91027e+03 1.42516e+02 2.24956e+06
3.52071e+03 1.46808e+02 2.24956e+06
3.81099e+03 1.46874e+02 2.24956e+06
3.76518e+03 1.46907e+02 2.24956e+06
3.72039e+03 1.46920e+02 2.24956e+06
3.67700e+03 1.46925e+02 2.24956e+06
3.63505e+03 1.46924e+02 2.24956e+06
3.59375e+03 1.46918e+02 2.24956e+06
3.55310e+03 1.46906e+02 2.24956e+06
3.51314e+03 1.46892e+02 2.24956e+06
3.47352e+03 1.46874e+02 2.24956e+06
3.43428e+03 1.46855e+02 2.24956e+06
3.39548e+03 1.46836e+02 2.24956e+06
3.35732e+03 1.46812e+02 2.24956e+06
3.31978e+03 1.46784e+02 2.24956e+06
3.28313e+03 1.46756e+02 2.24956e+06
3.24692e+03 1.46726e+02 2.24956e+06
3.21116e+03 1.46697e+02 2.24956e+06
3.17593e+03 1.46663e+02 2.24956e+06
3.14130e+03 1.46627e+02 1.83414e+06
3.10709e+03 1.46838e+02 1.83414e+06
2.05710e+03 1.51516e+02 1.83414e+06
2.11387e+03 1.51575e+02 1.83414e+06
2.12368e+03 1.51583e+02 1.83414e+06
2.12283e+03 1.51566e+02 1.83414e+06
2.11713e+03 1.51538e+02 1.83414e+06
2.10872e+03 1.51506e+02 1.83414e+06
2.09875e+03 1.51470e+02 1.83414e+06
2.08760e+03 1.51429e+02 1.83414e+06
2.07565e+03 1.51385e+02 1.83414e+06
2.06338e+03 1.51340e+02 1.83414e+06
2.05084e+03 1.51291e+02 1.83414e+06
2.03796e+03 1.51241e+02 1.83414e+06
2.02483e+03 1.51188e+02 1.83414e+06
2.01152e+03 1.51133e+02 1.83414e+06
1.99839e+03 1.51075e+02 1.83414e+06
1.98531e+03 1.51016e+02 1.83414e+06
1.97217e+03 1.50955e+02 1.83414e+06
1.95925e+03 1.50892e+02 1.83414e+06
1.94651e+03 1.50828e+02 1.66236e+06
1.93389e+03 1.50724e+02 1.66236e+06
1.80435e+03 1.50651e+02 1.66236e+06
1.83687e+03 1.50583e+02 1.66236e+06
1.82696e+03 1.50515e+02 1.66236e+06
1.81684e+03 1.50446e+02 1.66236e+06
1.80657e+03 1.50376e+02 1.66236e+06
1.79620e+03 1.50306e+02 1.66236e+06
1.78576e+03 1.50235e+02 1.66236e+06
1.77531e+03 1.50164e+02 1.66236e+06
1.76485e+03 1.50092e+02 1.66236e+06
1.75436e+03 1.50020e+02 1.66236e+06
1.74389e+03 1.49947e+02 1.66236e+06
1.73340e+03 1.49873e+02 1.66236e+06
1.72296e+03 1.49799e+02 1.66236e+06
1.71252e+03 1.49725e+02 1.66236e+06
1.70209e+03 1.49650e+02 1.66236e+06
1.69167e+03 1.49575e+02 1.66236e+06
1.68126e+03 1.49499e+02 1.66236e+06
1.67089e+03 1.49422e+02 1.66236e+06
1.66055e+03 1.49343e+02 1.48853e+06
1.65020e+03 1.48974e+02 1.48853e+06
1.43156e+03 1.49706e+02 1.48853e+06
1.46880e+03 1.49657e+02 1.48853e+06
1.46174e+03 1.49592e+02 1.48853e+06
1.45417e+03 1.49522e+02 1.48853e+06
1.44641e+03 1.49449e+02 1.48853e+06
1.43869e+03 1.49374e+02 1.48853e+06
1.43095e+03 1.49298e+02 1.48853e+06
1.42317e+03 1.49220e+02 1.48853e+06
1.41533e+03 1.49140e+02 1.48853e+06
1.40747e+03 1.49058e+02 1.48853e+06
1.39955e+03 1.48975e+02 1.48853e+06
1.39159e+03 1.48891e+02 1.48853e+06
1.38358e+03 1.48805e+02 1.48853e+06
1.37554e+03 1.48719e+02 1.48853e+06
1.36748e+03 1.48631e+02 1.48853e+06
1.35940e+03 1.48542e+02 1.48853e+06
1.35132e+03 1.48452e+02 1.48853e+06
1.34324e+03 1.48361e+02 1.48853e+06
1.33515e+03 1.48269e+02 1.33043e+06
1.32710e+03 1.47166e+02 1.33043e+06
1.00532e+03 1.48440e+02 1.33043e+06
1.02716e+03 1.48430e+02 1.33043e+06
1.02931e+03 1.48387e+02 1.33043e+06
1.02879e+03 1.48329e+02 1.33043e+06
1.02705e+03 1.48262e+02 1.33043e+06
1.02456e+03 1.48190e+02 1.33043e+06
1.02154e+03 1.48113e+02 1.33043e+06
1.01816e+03 1.48034e+02 1.33043e+06
1.01450e+03 1.47951e+02 1.33043e+06
1.01068e+03 1.47866e+02 1.33043e+06
1.00672e+03 1.47780e+02 1.33043e+06
1.00268e+03 1.47694e+02 1.33043e+06
9.98559e+02 1.47606e+02 1.33043e+06
9.94337e+02 1.47516e+02 1.33043e+06
9.90033e+02 1.47425e+02 1.33043e+06
9.85714e+02 1.47335e+02 1.33043e+06
9.81405e+02 1.47244e+02 1.33043e+06
9.77128e+02 1.47152e+02 1.33043e+06
9.72807e+02 1.47060e+02 1.20177e+06
9.68439e+02 1.46388e+02 1.20177e+06
8.66032e+02 1.46325e+02 1.20177e+06
8.87050e+02 1.46241e+02 1.20177e+06
8.86518e+02 1.46153e+02 1.20177e+06
8.84462e+02 1.46062e+02 1.20177e+06
8.81785e+02 1.45971e+02 1.20177e+06
8.78785e+02 1.45880e+02 1.20177e+06
8.75607e+02 1.45790e+02 1.20177e+06
8.72299e+02 1.45699e+02 1.20177e+06
8.68904e+02 1.45607e+02 1.20177e+06
8.65435e+02 1.45515e+02 1.20177e+06
8.61890e+02 1.45422e+02 1.20177e+06
8.58303e+02 1.45328e+02 1.20177e+06
8.54680e+02 1.45234e+02 1.20177e+06
8.51022e+02 1.45139e+02 1.20177e+06
8.47337e+02 1.45045e+02 1.20177e+06
8.43643e+02 1.44949e+02 1.20177e+06
8.39927e+02 1.44853e+02 1.20177e+06
8.36186e+02 1.44755e+02 1.20177e+06
8.32415e+02 1.44659e+02 1.10459e+06
8.28636e+02 1.43908e+02 1.10459e+06
7.44202e+02 1.43532e+02 1.10459e+06
7.65761e+02 1.43391e+02 1.10459e+06
7.67421e+02 1.43267e+02 1.10459e+06
7.66805e+02 1.43152e+02 1.10459e+06
7.65013e+02 1.43041e+02 1.10459e+06
7.62579e+02 1.42932e+02 1.10459e+06
7.59774e+02 1.42823e+02 1.10459e+06
7.56784e+02 1.42713e+02 1.10459e+06
7.53708e+02 1.42603e+02 1.10459e+06
7.50539e+02 1.42495e+02 1.10459e+06
7.47270e+02 1.42386e+02 1.10459e+06
7.43916e+02 1.42277e+02 1.10459e+06
7.40533e+02 1.42168e+02 1.10459e+06
7.37142e+02 1.42058e+02 1.10459e+06
7.33743e+02 1.41948e+02 1.10459e+06
7.30347e+02 1.41838e+02 1.10459e+06
7.26940e+02 1.41728e+02 1.10459e+06
7.23506e+02 1.41618e+02 1.10459e+06
7.20052e+02 1.41507e+02 1.00604e+06
7.16575e+02 1.40847e+02 1.00604e+06
6.33523e+02 1.40101e+02 1.00604e+06
6.58163e+02 1.39888e+02 1.00604e+06
6.59629e+02 1.39727e+02 1.00604e+06
6.58446e+02 1.39590e+02 1.00604e+06
6.56131e+02 1.39465e+02 1.00604e+06
6.53309e+02 1.39345e+02 1.00604e+06
6.50212e+02 1.39228e+02 1.00604e+06
6.46980e+02 1.39113e+02 1.00604e+06
6.43736e+02 1.38998e+02 1.00604e+06
6.40501e+02 1.38881e+02 1.00604e+06
6.37281e+02 1.38765e+02 1.00604e+06
6.34050e+02 1.38648e+02 1.00604e+06
6.30805e+02 1.38531e+02 1.00604e+06
6.27555e+02 1.38413e+02 1.00604e+06
6.24324e+02 1.38295e+02 1.00604e+06
6.21093e+02 1.38177e+02 1.00604e+06
6.17877e+02 1.38059e+02 1.00604e+06
6.14671e+02 1.37940e+02 1.00604e+06
6.11458e+02 1.37821e+02 9.14332e+05
6.08251e+02 1.36905e+02 9.14332e+05
5.19437e+02 1.35726e+02 9.14332e+05
5.46184e+02 1.35484e+02 9.14332e+05
5.47988e+02 1.35312e+02 9.14332e+05
5.46927e+02 1.35169e+02 9.14332e+05
5.44726e+02 1.35038e+02 9.14332e+05
5.42031e+02 1.34915e+02 9.14332e+05
5.39157e+02 1.34794e+02 9.14332e+05
5.36263e+02 1.34675e+02 9.14332e+05
5.33385e+02 1.34556e+02 9.14332e+05
5.30557e+02 1.34437e+02 9.14332e+05
5.27751e+02 1.34317e+02 9.14332e+05
5.24989e+02 1.34198e+02 9.14332e+05
5.22234e+02 1.34079e+02 9.14332e+05
5.19497e+02 1.33960e+02 9.14332e+05
5.16784e+02 1.33841e+02 9.14332e+05
5.14085e+02 1.33722e+02 9.14332e+05
5.11392e+02 1.33602e+02 9.14332e+05
5.08706e+02 1.33483e+02 9.14332e+05
