# Chi2 Rg SupportVolume
6.40479e+03 1.10587e+02 2.20138e+07
2.58595e+03 7.96766e+01 2.20138e+07
2.58648e+03 6.50824e+01 2.20138e+07
2.53673e+03 5.01572e+01 2.20138e+07
2.49790e+03 3.55010e+01 2.20138e+07
2.46441e+03 1.31545e+01 2.20138e+07
2.43293e+03 -2.59412e+01 2.20138e+07
2.40460e+03 -3.64065e+01 2.20138e+07
2.37797e+03 -4.36933e+01 2.20138e+07
2.35326e+03 -4.88301e+01 2.20138e+07
2.32916e+03 -5.21620e+01 2.20138e+07
2.30609e+03 -5.46399e+01 2.20138e+07
2.28389e+03 -5.63227e+01 2.20138e+07
2.26296e+03 -5.73985e+01 2.20138e+07
2.24249e+03 -5.81068e+01 2.20138e+07
2.22256e+03 -5.86555e+01 2.20138e+07
2.20277e+03 -5.90748e+01 2.20138e+07
2.18329e+03 -5.92433e+01 2.20138e+07
2.16428e+03 -5.92841e+01 2.20138e+07
2.14572e+03 -5.90501e+01 2.20138e+07
2.12705e+03 -5.87003e+01 3.64980e+06
2.10876e+03 3.70380e+01 3.64980e+06
6.80423e+03 3.72843e+01 3.64980e+06
7.27850e+03 3.62794e+01 3.64980e+06
7.23749e+03 3.59985e+01 3.64980e+06
7.16731e+03 3.60465e+01 3.64980e+06
7.07883e+03 3.62583e+01 3.64980e+06
6.98004e+03 3.65308e+01 3.64980e+06
6.87747e+03 3.68424e+01 3.64980e+06
6.77249e+03 3.71130e+01 3.64980e+06
6.66763e+03 3.73755e+01 3.64980e+06
6.56280e+03 3.76178e+01 3.64980e+06
6.45804e+03 3.78299e+01 3.64980e+06
6.35447e+03 3.80212e+01 3.64980e+06
6.25217e+03 3.81913e+01 3.64980e+06
6.15121e+03 3.83838e+01 3.64980e+06
6.05242e+03 3.86189e+01 3.64980e+06
5.95582e+03 3.88561e+01 3.64980e+06
5.86026e+03 3.90632e+01 3.64980e+06
5.76620e+03 3.92591e+01 3.64980e+06
5.67349e+03 3.94568e+01 2.72246e+06
5.58191e+03 4.90211e+01 2.72246e+06
