# Chi2 Rg SupportVolume
6.34381e+03 1.90560e+01 2.19727e+07
2.58779e+03 6.97995e+01 2.19727e+07
2.60400e+03 7.18087e+01 2.19727e+07
2.55322e+03 7.29644e+01 2.19727e+07
2.50961e+03 7.42943e+01 2.19727e+07
2.47383e+03 7.45901e+01 2.19727e+07
2.44212e+03 7.48510e+01 2.19727e+07
2.41270e+03 7.46792e+01 2.19727e+07
2.38545e+03 7.42816e+01 2.19727e+07
2.36013e+03 7.36358e+01 2.19727e+07
2.33688e+03 7.30222e+01 2.19727e+07
2.31300e+03 7.21435e+01 2.19727e+07
2.28887e+03 7.12697e+01 2.19727e+07
2.26545e+03 7.05615e+01 2.19727e+07
2.24202e+03 6.97892e+01 2.19727e+07
2.21827e+03 6.89656e+01 2.19727e+07
2.19592e+03 6.79999e+01 2.19727e+07
2.17351e+03 6.69812e+01 2.19727e+07
2.15159e+03 6.61429e+01 2.19727e+07
2.13027e+03 6.54098e+01 2.19727e+07
2.10989e+03 6.47862e+01 2.52126e+06
2.08974e+03 1.00775e+02 2.52126e+06
2.79066e+03 9.62338e+01 2.52126e+06
3.39678e+03 9.71118e+01 2.52126e+06
3.44608e+03 9.76067e+01 2.52126e+06
3.46104e+03 9.79235e+01 2.52126e+06
3.46018e+03 9.81201e+01 2.52126e+06
3.44806e+03 9.82470e+01 2.52126e+06
3.42935e+03 9.83158e+01 2.52126e+06
3.40604e+03 9.83399e+01 2.52126e+06
3.37945e+03 9.83269e+01 2.52126e+06
3.35051e+03 9.82840e+01 2.52126e+06
3.31993e+03 9.82197e+01 2.52126e+06
3.28901e+03 9.81422e+01 2.52126e+06
3.25775e+03 9.80506e+01 2.52126e+06
3.22619e+03 9.79444e+01 2.52126e+06
3.19491e+03 9.78272e+01 2.52126e+06
3.16318e+03 9.77091e+01 2.52126e+06
3.13170e+03 9.75897e+01 2.52126e+06
3.10068e+03 9.74669e+01 2.52126e+06
3.07005e+03 9.73440e+01 1.96622e+06
3.03971e+03 9.49793e+01 1.96622e+06
1.91293e+03 8.40277e+01 1.96622e+06
2.08967e+03 8.41992e+01 1.96622e+06
2.08449e+03 8.43362e+01 1.96622e+06
2.07777e+03 8.44505e+01 1.96622e+06
2.07007e+03 8.45473e+01 1.96622e+06
2.06165e+03 8.46327e+01 1.96622e+06
2.05255e+03 8.47101e+01 1.96622e+06
2.04294e+03 8.47805e+01 1.96622e+06
2.03306e+03 8.48448e+01 1.96622e+06
2.02295e+03 8.49022e+01 1.96622e+06
2.01259e+03 8.49533e+01 1.96622e+06
2.00203e+03 8.50009e+01 1.96622e+06
1.99128e+03 8.50444e+01 1.96622e+06
1.98044e+03 8.50851e+01 1.96622e+06
1.96956e+03 8.51250e+01 1.96622e+06
1.95862e+03 8.51605e+01 1.96622e+06
1.94759e+03 8.51935e+01 1.96622e+06
1.93643e+03 8.52255e+01 1.96622e+06
1.92516e+03 8.52573e+01 1.77665e+06
1.91393e+03 8.71052e+01 1.77665e+06
1.26655e+03 8.45247e+01 1.77665e+06
1.31683e+03 8.47022e+01 1.77665e+06
1.31746e+03 8.48430e+01 1.77665e+06
1.31675e+03 8.49608e+01 1.77665e+06
1.31522e+03 8.50670e+01 1.77665e+06
1.31317e+03 8.51632e+01 1.77665e+06
1.31068e+03 8.52493e+01 1.77665e+06
1.30787e+03 8.53290e+01 1.77665e+06
1.30475e+03 8.54018e+01 1.77665e+06
1.30143e+03 8.54675e+01 1.77665e+06
1.29796e+03 8.55289e+01 1.77665e+06
1.29438e+03 8.55856e+01 1.77665e+06
1.29069e+03 8.56391e+01 1.77665e+06
1.28693e+03 8.56886e+01 1.77665e+06
1.28310e+03 8.57365e+01 1.77665e+06
1.27927e+03 8.57845e+01 1.77665e+06
1.27540e+03 8.58310e+01 1.77665e+06
1.27147e+03 8.58758e+01 1.77665e+06
1.26748e+03 8.59196e+01 1.67126e+06
1.26346e+03 8.71109e+01 1.67126e+06
1.02276e+03 8.47224e+01 1.67126e+06
1.02065e+03 8.48233e+01 1.67126e+06
1.02071e+03 8.49081e+01 1.67126e+06
1.02014e+03 8.49826e+01 1.67126e+06
1.01911e+03 8.50535e+01 1.67126e+06
1.01768e+03 8.51191e+01 1.67126e+06
1.01602e+03 8.51808e+01 1.67126e+06
1.01415e+03 8.52386e+01 1.67126e+06
1.01207e+03 8.52931e+01 1.67126e+06
1.00984e+03 8.53445e+01 1.67126e+06
1.00747e+03 8.53952e+01 1.67126e+06
1.00499e+03 8.54432e+01 1.67126e+06
1.00241e+03 8.54888e+01 1.67126e+06
9.99776e+02 8.55314e+01 1.67126e+06
9.97112e+02 8.55716e+01 1.67126e+06
9.94434e+02 8.56094e+01 1.67126e+06
9.91718e+02 8.56464e+01 1.67126e+06
9.89006e+02 8.56838e+01 1.67126e+06
9.86309e+02 8.57195e+01 1.60692e+06
9.83599e+02 8.57352e+01 1.60692e+06
9.81525e+02 8.55726e+01 1.60692e+06
9.82255e+02 8.56027e+01 1.60692e+06
9.79324e+02 8.56324e+01 1.60692e+06
