# Chi2 Rg SupportVolume
6.35281e+03 1.50832e+02 2.22649e+07
2.58715e+03 1.48701e+02 2.22649e+07
2.56202e+03 1.49259e+02 2.22649e+07
2.53333e+03 1.49657e+02 2.22649e+07
2.50679e+03 1.49617e+02 2.22649e+07
2.48114e+03 1.49839e+02 2.22649e+07
2.45619e+03 1.50312e+02 2.22649e+07
2.43112e+03 1.50769e+02 2.22649e+07
2.40618e+03 1.51132e+02 2.22649e+07
2.38211e+03 1.51307e+02 2.22649e+07
2.35789e+03 1.51242e+02 2.22649e+07
2.33468e+03 1.51162e+02 2.22649e+07
2.31176e+03 1.51000e+02 2.22649e+07
2.28966e+03 1.50875e+02 2.22649e+07
2.26803e+03 1.50695e+02 2.22649e+07
2.24709e+03 1.50483e+02 2.22649e+07
2.22602e+03 1.50297e+02 2.22649e+07
2.20604e+03 1.50091e+02 2.22649e+07
2.18628e+03 1.49888e+02 2.22649e+07
2.16687e+03 1.49641e+02 2.22649e+07
2.14736e+03 1.49424e+02 2.74710e+06
2.12863e+03 1.26452e+02 2.74710e+06
3.72929e+03 1.15920e+02 2.74710e+06
4.34648e+03 1.15463e+02 2.74710e+06
4.36481e+03 1.15153e+02 2.74710e+06
4.34917e+03 1.14916e+02 2.74710e+06
4.31522e+03 1.14739e+02 2.74710e+06
4.26859e+03 1.14597e+02 2.74710e+06
4.21400e+03 1.14455e+02 2.74710e+06
4.15454e+03 1.14304e+02 2.74710e+06
4.09305e+03 1.14192e+02 2.74710e+06
4.03161e+03 1.14095e+02 2.74710e+06
3.97070e+03 1.13998e+02 2.74710e+06
3.91006e+03 1.13905e+02 2.74710e+06
3.84992e+03 1.13825e+02 2.74710e+06
3.79058e+03 1.13755e+02 2.74710e+06
3.73184e+03 1.13673e+02 2.74710e+06
3.67460e+03 1.13602e+02 2.74710e+06
3.61886e+03 1.13532e+02 2.74710e+06
3.56435e+03 1.13463e+02 2.74710e+06
3.51080e+03 1.13402e+02 2.07709e+06
3.45876e+03 1.14115e+02 2.07709e+06
2.52645e+03 1.15035e+02 2.07709e+06
2.73337e+03 1.14965e+02 2.07709e+06
2.70590e+03 1.14945e+02 2.07709e+06
2.67959e+03 1.14947e+02 2.07709e+06
2.65400e+03 1.14971e+02 2.07709e+06
2.62875e+03 1.15003e+02 2.07709e+06
2.60358e+03 1.15038e+02 2.07709e+06
2.57835e+03 1.15076e+02 2.07709e+06
2.55344e+03 1.15117e+02 2.07709e+06
2.52869e+03 1.15158e+02 2.07709e+06
2.50433e+03 1.15202e+02 2.07709e+06
2.48028e+03 1.15242e+02 2.07709e+06
2.45641e+03 1.15281e+02 2.07709e+06
2.43270e+03 1.15320e+02 2.07709e+06
2.40906e+03 1.15360e+02 2.07709e+06
2.38555e+03 1.15388e+02 2.07709e+06
2.36235e+03 1.15414e+02 2.07709e+06
2.33938e+03 1.15440e+02 2.07709e+06
