# Chi2 Rg SupportVolume
6.42452e+03 1.54823e+02 2.23450e+07
2.58907e+03 1.46625e+02 2.23450e+07
2.56058e+03 1.44598e+02 2.23450e+07
2.53168e+03 1.42876e+02 2.23450e+07
2.50390e+03 1.42037e+02 2.23450e+07
2.47856e+03 1.41493e+02 2.23450e+07
2.45523e+03 1.40816e+02 2.23450e+07
2.43308e+03 1.40306e+02 2.23450e+07
2.41206e+03 1.40022e+02 2.23450e+07
2.39242e+03 1.39841e+02 2.23450e+07
2.37335e+03 1.39654e+02 2.23450e+07
2.35526e+03 1.39424e+02 2.23450e+07
2.33684e+03 1.39188e+02 2.23450e+07
2.31874e+03 1.38925e+02 2.23450e+07
2.30108e+03 1.38551e+02 2.23450e+07
2.28304e+03 1.38088e+02 2.23450e+07
2.26521e+03 1.37662e+02 2.23450e+07
2.24727e+03 1.37224e+02 2.23450e+07
2.22964e+03 1.36818e+02 2.23450e+07
2.21221e+03 1.36459e+02 2.23450e+07
2.19567e+03 1.36122e+02 3.02907e+06
2.17966e+03 1.23102e+02 3.02907e+06
5.31368e+03 1.21793e+02 3.02907e+06
6.34417e+03 1.22128e+02 3.02907e+06
6.37488e+03 1.22275e+02 3.02907e+06
6.34473e+03 1.22363e+02 3.02907e+06
6.28655e+03 1.22388e+02 3.02907e+06
6.21102e+03 1.22369e+02 3.02907e+06
6.12521e+03 1.22330e+02 3.02907e+06
6.03369e+03 1.22282e+02 3.02907e+06
5.93816e+03 1.22218e+02 3.02907e+06
5.83960e+03 1.22151e+02 3.02907e+06
5.73957e+03 1.22070e+02 3.02907e+06
5.63965e+03 1.21975e+02 3.02907e+06
5.54044e+03 1.21852e+02 3.02907e+06
5.44293e+03 1.21727e+02 3.02907e+06
5.34719e+03 1.21574e+02 3.02907e+06
5.25249e+03 1.21390e+02 3.02907e+06
5.15812e+03 1.21183e+02 3.02907e+06
5.06400e+03 1.20971e+02 3.02907e+06
4.97124e+03 1.20779e+02 2.35016e+06
4.87911e+03 1.22554e+02 2.35016e+06
3.76676e+03 1.26597e+02 2.35016e+06
3.84794e+03 1.26422e+02 2.35016e+06
3.81985e+03 1.26226e+02 2.35016e+06
3.77874e+03 1.26025e+02 2.35016e+06
3.73176e+03 1.25829e+02 2.35016e+06
3.68231e+03 1.25639e+02 2.35016e+06
3.63134e+03 1.25471e+02 2.35016e+06
3.57973e+03 1.25298e+02 2.35016e+06
3.52752e+03 1.25118e+02 2.35016e+06
3.47571e+03 1.24940e+02 2.35016e+06
3.42483e+03 1.24759e+02 2.35016e+06
3.37464e+03 1.24578e+02 2.35016e+06
3.32468e+03 1.24393e+02 2.35016e+06
3.27504e+03 1.24204e+02 2.35016e+06
3.22581e+03 1.24007e+02 2.35016e+06
3.17739e+03 1.23802e+02 2.35016e+06
3.12977e+03 1.23595e+02 2.35016e+06
3.08232e+03 1.23394e+02 2.35016e+06
3.03553e+03 1.23198e+02 1.95048e+06
2.98932e+03 1.22786e+02 1.95048e+06
2.51643e+03 1.24518e+02 1.95048e+06
2.64155e+03 1.24365e+02 1.95048e+06
2.60069e+03 1.24218e+02 1.95048e+06
2.56267e+03 1.24075e+02 1.95048e+06
