# Chi2 Rg SupportVolume
6.40007e+03 1.02230e+02 2.23204e+07
2.58693e+03 1.03287e+02 2.23204e+07
2.55739e+03 1.04117e+02 2.23204e+07
2.52833e+03 1.04356e+02 2.23204e+07
2.50174e+03 1.03722e+02 2.23204e+07
2.47659e+03 1.02858e+02 2.23204e+07
2.45245e+03 1.01390e+02 2.23204e+07
2.42860e+03 9.97328e+01 2.23204e+07
2.40547e+03 9.83096e+01 2.23204e+07
2.38309e+03 9.70090e+01 2.23204e+07
2.36004e+03 9.59456e+01 2.23204e+07
2.33724e+03 9.51471e+01 2.23204e+07
2.31465e+03 9.44502e+01 2.23204e+07
2.29211e+03 9.36893e+01 2.23204e+07
2.27143e+03 9.30291e+01 2.23204e+07
2.25108e+03 9.26009e+01 2.23204e+07
2.23100e+03 9.22942e+01 2.23204e+07
2.21130e+03 9.20849e+01 2.23204e+07
2.19153e+03 9.18470e+01 2.23204e+07
2.17152e+03 9.16908e+01 2.23204e+07
2.15196e+03 9.15849e+01 2.59038e+06
2.13237e+03 1.18730e+02 2.59038e+06
4.23849e+03 1.15733e+02 2.59038e+06
5.43266e+03 1.15561e+02 2.59038e+06
5.51152e+03 1.15521e+02 2.59038e+06
5.50247e+03 1.15549e+02 2.59038e+06
5.44816e+03 1.15618e+02 2.59038e+06
5.37041e+03 1.15712e+02 2.59038e+06
5.27974e+03 1.15822e+02 2.59038e+06
5.18254e+03 1.15942e+02 2.59038e+06
5.08282e+03 1.16064e+02 2.59038e+06
4.98238e+03 1.16191e+02 2.59038e+06
4.88126e+03 1.16319e+02 2.59038e+06
4.77995e+03 1.16443e+02 2.59038e+06
4.67891e+03 1.16565e+02 2.59038e+06
4.57865e+03 1.16683e+02 2.59038e+06
4.48014e+03 1.16795e+02 2.59038e+06
4.38386e+03 1.16900e+02 2.59038e+06
4.28971e+03 1.16997e+02 2.59038e+06
4.19751e+03 1.17089e+02 2.59038e+06
4.10694e+03 1.17178e+02 1.61308e+06
4.01818e+03 1.09647e+02 1.61308e+06
1.39064e+03 1.14960e+02 1.61308e+06
1.65772e+03 1.14928e+02 1.61308e+06
1.67261e+03 1.14906e+02 1.61308e+06
1.67469e+03 1.14890e+02 1.61308e+06
1.66984e+03 1.14878e+02 1.61308e+06
1.66089e+03 1.14872e+02 1.61308e+06
1.64973e+03 1.14868e+02 1.61308e+06
1.63711e+03 1.14865e+02 1.61308e+06
1.62361e+03 1.14864e+02 1.61308e+06
1.60947e+03 1.14864e+02 1.61308e+06
1.59507e+03 1.14864e+02 1.61308e+06
1.58047e+03 1.14866e+02 1.61308e+06
1.56582e+03 1.14867e+02 1.61308e+06
1.55118e+03 1.14867e+02 1.61308e+06
1.53662e+03 1.14866e+02 1.61308e+06
1.52222e+03 1.14864e+02 1.61308e+06
1.50814e+03 1.14860e+02 1.61308e+06
1.49414e+03 1.14855e+02 1.61308e+06
1.48017e+03 1.14848e+02 1.25789e+06
1.46634e+03 1.09633e+02 1.25789e+06
7.53991e+02 1.11128e+02 1.25789e+06
8.66723e+02 1.11140e+02 1.25789e+06
8.75981e+02 1.11128e+02 1.25789e+06
8.76760e+02 1.11103e+02 1.25789e+06
8.74497e+02 1.11070e+02 1.25789e+06
8.70681e+02 1.11031e+02 1.25789e+06
8.66240e+02 1.10987e+02 1.25789e+06
8.61379e+02 1.10939e+02 1.25789e+06
8.56320e+02 1.10889e+02 1.25789e+06
8.51138e+02 1.10836e+02 1.25789e+06
8.45980e+02 1.10782e+02 1.25789e+06
8.40826e+02 1.10726e+02 1.25789e+06
8.35719e+02 1.10670e+02 1.25789e+06
8.30644e+02 1.10612e+02 1.25789e+06
8.25636e+02 1.10555e+02 1.25789e+06
8.20766e+02 1.10497e+02 1.25789e+06
8.15949e+02 1.10440e+02 1.25789e+06
8.11179e+02 1.10382e+02 1.25789e+06
8.06466e+02 1.10323e+02 1.08680e+06
8.01799e+02 1.07837e+02 1.08680e+06
5.56052e+02 1.06435e+02 1.08680e+06
6.00624e+02 1.06363e+02 1.08680e+06
6.04991e+02 1.06311e+02 1.08680e+06
6.05136e+02 1.06260e+02 1.08680e+06
6.03734e+02 1.06207e+02 1.08680e+06
6.01598e+02 1.06150e+02 1.08680e+06
5.99094e+02 1.06090e+02 1.08680e+06
5.96454e+02 1.06028e+02 1.08680e+06
5.93777e+02 1.05965e+02 1.08680e+06
5.91060e+02 1.05900e+02 1.08680e+06
5.88320e+02 1.05835e+02 1.08680e+06
5.85553e+02 1.05770e+02 1.08680e+06
5.82775e+02 1.05704e+02 1.08680e+06
5.80024e+02 1.05639e+02 1.08680e+06
5.77261e+02 1.05573e+02 1.08680e+06
5.74493e+02 1.05508e+02 1.08680e+06
5.71733e+02 1.05441e+02 1.08680e+06
5.68974e+02 1.05375e+02 1.08680e+06
5.66235e+02 1.05310e+02 9.74557e+05
5.63528e+02 1.03747e+02 9.74557e+05
4.34182e+02 1.02322e+02 9.74557e+05
4.73201e+02 1.02232e+02 9.74557e+05
4.72248e+02 1.02169e+02 9.74557e+05
4.69940e+02 1.02110e+02 9.74557e+05
4.67472e+02 1.02050e+02 9.74557e+05
4.64988e+02 1.01989e+02 9.74557e+05
4.62601e+02 1.01926e+02 9.74557e+05
4.60278e+02 1.01864e+02 9.74557e+05
4.58018e+02 1.01801e+02 9.74557e+05
4.55798e+02 1.01739e+02 9.74557e+05
4.53634e+02 1.01677e+02 9.74557e+05
4.51498e+02 1.01615e+02 9.74557e+05
4.49403e+02 1.01553e+02 9.74557e+05
4.47337e+02 1.01491e+02 9.74557e+05
4.45286e+02 1.01428e+02 9.74557e+05
4.43252e+02 1.01366e+02 9.74557e+05
4.41236e+02 1.01303e+02 9.74557e+05
4.39227e+02 1.01241e+02 9.74557e+05
4.37229e+02 1.01178e+02 8.82166e+05
4.35256e+02 9.75202e+01 8.82166e+05
2.41778e+02 9.38312e+01 8.82166e+05
2.79295e+02 9.38227e+01 8.82166e+05
2.79358e+02 9.38234e+01 8.82166e+05
2.78972e+02 9.38200e+01 8.82166e+05
2.78505e+02 9.38091e+01 8.82166e+05
2.77979e+02 9.37897e+01 8.82166e+05
2.77386e+02 9.37637e+01 8.82166e+05
2.76744e+02 9.37330e+01 8.82166e+05
2.76077e+02 9.36978e+01 8.82166e+05
2.75398e+02 9.36591e+01 8.82166e+05
2.74677e+02 9.36172e+01 8.82166e+05
2.73935e+02 9.35727e+01 8.82166e+05
2.73161e+02 9.35265e+01 8.82166e+05
2.72367e+02 9.34794e+01 8.82166e+05
2.71575e+02 9.34312e+01 8.82166e+05
2.70773e+02 9.33823e+01 8.82166e+05
2.69968e+02 9.33335e+01 8.82166e+05
2.69181e+02 9.32846e+01 8.82166e+05
2.68402e+02 9.32362e+01 8.21941e+05
2.67639e+02 8.95972e+01 8.21941e+05
1.60495e+02 8.46291e+01 8.21941e+05
1.64627e+02 8.47803e+01 8.21941e+05
1.65552e+02 8.48429e+01 8.21941e+05
1.65710e+02 8.48627e+01 8.21941e+05
1.65414e+02 8.48630e+01 8.21941e+05
1.65073e+02 8.48519e+01 8.21941e+05
1.64771e+02 8.48310e+01 8.21941e+05
1.64476e+02 8.48033e+01 8.21941e+05
1.64177e+02 8.47716e+01 8.21941e+05
1.63857e+02 8.47361e+01 8.21941e+05
1.63540e+02 8.46977e+01 8.21941e+05
1.63206e+02 8.46572e+01 8.21941e+05
1.62865e+02 8.46147e+01 8.21941e+05
1.62517e+02 8.45707e+01 8.21941e+05
1.62147e+02 8.45254e+01 8.21941e+05
1.61773e+02 8.44795e+01 8.21941e+05
1.61397e+02 8.44332e+01 8.21941e+05
1.61020e+02 8.43863e+01 8.21941e+05
1.60640e+02 8.43389e+01 7.95934e+05
1.60244e+02 8.42829e+01 7.95934e+05
1.55150e+02 8.41012e+01 7.95934e+05
1.56406e+02 8.40424e+01 7.95934e+05
1.56173e+02 8.39890e+01 7.95934e+05
1.55908e+02 8.39375e+01 7.95934e+05
1.55601e+02 8.38876e+01 7.95934e+05
1.55267e+02 8.38386e+01 7.95934e+05
1.54919e+02 8.37899e+01 7.95934e+05
1.54552e+02 8.37416e+01 7.95934e+05
1.54172e+02 8.36935e+01 7.95934e+05
1.53781e+02 8.36457e+01 7.95934e+05
1.53379e+02 8.35979e+01 7.95934e+05
1.52968e+02 8.35501e+01 7.95934e+05
1.52543e+02 8.35023e+01 7.95934e+05
1.52114e+02 8.34544e+01 7.95934e+05
1.51681e+02 8.34065e+01 7.95934e+05
1.51242e+02 8.33587e+01 7.95934e+05
1.50797e+02 8.33108e+01 7.95934e+05
1.50349e+02 8.32629e+01 7.95934e+05
1.49894e+02 8.32150e+01 7.64453e+05
1.49438e+02 8.31914e+01 7.64453e+05
1.43661e+02 8.28380e+01 7.64453e+05
1.44802e+02 8.27766e+01 7.64453e+05
1.43984e+02 8.27251e+01 7.64453e+05
1.43308e+02 8.26767e+01 7.64453e+05
1.42736e+02 8.26296e+01 7.64453e+05
1.42243e+02 8.25837e+01 7.64453e+05
1.41801e+02 8.25380e+01 7.64453e+05
1.41382e+02 8.24923e+01 7.64453e+05
1.40975e+02 8.24468e+01 7.64453e+05
1.40574e+02 8.24014e+01 7.64453e+05
1.40170e+02 8.23562e+01 7.64453e+05
1.39766e+02 8.23109e+01 7.64453e+05
1.39365e+02 8.22658e+01 7.64453e+05
1.38965e+02 8.22206e+01 7.64453e+05
1.38562e+02 8.21754e+01 7.64453e+05
1.38156e+02 8.21301e+01 7.64453e+05
1.37750e+02 8.20847e+01 7.64453e+05
1.37339e+02 8.20393e+01 7.64453e+05
1.36928e+02 8.19939e+01 7.35709e+05
1.36518e+02 8.16280e+01 7.35709e+05
1.24993e+02 8.06822e+01 7.35709e+05
1.26780e+02 8.05929e+01 7.35709e+05
1.26581e+02 8.05358e+01 7.35709e+05
1.26319e+02 8.04861e+01 7.35709e+05
1.26035e+02 8.04386e+01 7.35709e+05
1.25730e+02 8.03924e+01 7.35709e+05
1.25398e+02 8.03470e+01 7.35709e+05
1.25050e+02 8.03020e+01 7.35709e+05
1.24692e+02 8.02572e+01 7.35709e+05
1.24325e+02 8.02123e+01 7.35709e+05
1.23945e+02 8.01674e+01 7.35709e+05
1.23569e+02 8.01223e+01 7.35709e+05
1.23193e+02 8.00781e+01 7.35709e+05
1.22828e+02 8.00338e+01 7.35709e+05
1.22472e+02 7.99898e+01 7.35709e+05
1.22110e+02 7.99458e+01 7.35709e+05
1.21747e+02 7.99018e+01 7.35709e+05
1.21386e+02 7.98579e+01 7.35709e+05
1.21032e+02 7.98139e+01 7.04912e+05
1.20682e+02 7.91984e+01 7.04912e+05
1.30347e+02 7.81860e+01 7.04912e+05
1.28750e+02 7.81305e+01 7.04912e+05
1.25776e+02 7.80914e+01 7.04912e+05
1.23804e+02 7.80528e+01 7.04912e+05
1.22232e+02 7.80130e+01 7.04912e+05
1.20900e+02 7.79715e+01 7.04912e+05
1.19715e+02 7.79291e+01 7.04912e+05
1.18670e+02 7.78868e+01 7.04912e+05
