# Chi2 Rg SupportVolume
6.35718e+03 -7.64074e+01 2.24230e+07
2.58671e+03 -5.98690e+01 2.24230e+07
2.56120e+03 -6.02248e+01 2.24230e+07
2.53735e+03 -6.16489e+01 2.24230e+07
2.51433e+03 -6.28232e+01 2.24230e+07
2.49152e+03 -6.07906e+01 2.24230e+07
2.46880e+03 -5.61980e+01 2.24230e+07
2.44846e+03 -4.92497e+01 2.24230e+07
2.42881e+03 -3.92625e+01 2.24230e+07
2.40883e+03 -2.47693e+01 2.24230e+07
2.38925e+03 1.75157e+01 2.24230e+07
2.37022e+03 3.47895e+01 2.24230e+07
2.35161e+03 4.57918e+01 2.24230e+07
2.33371e+03 5.43277e+01 2.24230e+07
2.31599e+03 6.12126e+01 2.24230e+07
2.29841e+03 6.71290e+01 2.24230e+07
2.28066e+03 7.24377e+01 2.24230e+07
2.26336e+03 7.69855e+01 2.24230e+07
2.24625e+03 8.10309e+01 2.24230e+07
2.22898e+03 8.45577e+01 2.24230e+07
2.21165e+03 8.75594e+01 3.44243e+06
2.19411e+03 1.17482e+02 3.44243e+06
9.72404e+03 1.18480e+02 3.44243e+06
1.14621e+04 1.18312e+02 3.44243e+06
1.12643e+04 1.18154e+02 3.44243e+06
1.09641e+04 1.18010e+02 3.44243e+06
1.06242e+04 1.17868e+02 3.44243e+06
1.02726e+04 1.17699e+02 3.44243e+06
9.92844e+03 1.17507e+02 3.44243e+06
9.59659e+03 1.17322e+02 3.44243e+06
9.27657e+03 1.17140e+02 3.44243e+06
8.97024e+03 1.16972e+02 3.44243e+06
8.67826e+03 1.16804e+02 3.44243e+06
8.39836e+03 1.16636e+02 3.44243e+06
8.12796e+03 1.16463e+02 3.44243e+06
7.86605e+03 1.16285e+02 3.44243e+06
7.61350e+03 1.16103e+02 3.44243e+06
7.37079e+03 1.15929e+02 3.44243e+06
7.13746e+03 1.15752e+02 3.44243e+06
6.91376e+03 1.15574e+02 3.44243e+06
6.69813e+03 1.15398e+02 1.81361e+06
6.49146e+03 1.21578e+02 1.81361e+06
1.76240e+03 1.10721e+02 1.81361e+06
2.08551e+03 1.11101e+02 1.81361e+06
2.13998e+03 1.11300e+02 1.81361e+06
2.15673e+03 1.11412e+02 1.81361e+06
2.15871e+03 1.11475e+02 1.81361e+06
2.15275e+03 1.11511e+02 1.81361e+06
2.14257e+03 1.11516e+02 1.81361e+06
2.12988e+03 1.11505e+02 1.81361e+06
2.11548e+03 1.11488e+02 1.81361e+06
2.09997e+03 1.11461e+02 1.81361e+06
2.08371e+03 1.11427e+02 1.81361e+06
2.06708e+03 1.11386e+02 1.81361e+06
2.05013e+03 1.11341e+02 1.81361e+06
2.03288e+03 1.11293e+02 1.81361e+06
2.01544e+03 1.11245e+02 1.81361e+06
1.99788e+03 1.11195e+02 1.81361e+06
1.98023e+03 1.11143e+02 1.81361e+06
1.96274e+03 1.11090e+02 1.81361e+06
1.94533e+03 1.11037e+02 1.43788e+06
1.92800e+03 1.13816e+02 1.43788e+06
1.11360e+03 1.09855e+02 1.43788e+06
1.28552e+03 1.09749e+02 1.43788e+06
1.29503e+03 1.09728e+02 1.43788e+06
1.29614e+03 1.09729e+02 1.43788e+06
1.29378e+03 1.09735e+02 1.43788e+06
1.28952e+03 1.09738e+02 1.43788e+06
1.28394e+03 1.09740e+02 1.43788e+06
1.27736e+03 1.09740e+02 1.43788e+06
