# Chi2 Rg SupportVolume
6.25195e+03 6.88820e+01 2.21479e+07
2.58802e+03 1.01358e+02 2.21479e+07
2.57767e+03 1.20056e+02 2.21479e+07
2.53473e+03 1.30470e+02 2.21479e+07
2.50116e+03 1.37669e+02 2.21479e+07
2.47181e+03 1.42770e+02 2.21479e+07
2.44396e+03 1.46670e+02 2.21479e+07
2.41643e+03 1.49694e+02 2.21479e+07
2.38915e+03 1.52204e+02 2.21479e+07
2.36258e+03 1.54311e+02 2.21479e+07
2.33795e+03 1.56268e+02 2.21479e+07
2.31417e+03 1.58066e+02 2.21479e+07
2.29063e+03 1.59846e+02 2.21479e+07
2.26770e+03 1.61532e+02 2.21479e+07
2.24599e+03 1.63036e+02 2.21479e+07
2.22558e+03 1.64355e+02 2.21479e+07
2.20605e+03 1.65568e+02 2.21479e+07
2.18710e+03 1.66790e+02 2.21479e+07
2.16819e+03 1.67959e+02 2.21479e+07
2.14950e+03 1.69012e+02 2.21479e+07
2.13183e+03 1.70034e+02 2.47540e+06
2.11415e+03 1.38033e+02 2.47540e+06
5.31075e+03 1.34885e+02 2.47540e+06
6.51132e+03 1.34692e+02 2.47540e+06
6.51860e+03 1.34752e+02 2.47540e+06
6.44738e+03 1.34966e+02 2.47540e+06
6.34134e+03 1.35260e+02 2.47540e+06
6.21855e+03 1.35597e+02 2.47540e+06
6.08938e+03 1.35959e+02 2.47540e+06
5.95675e+03 1.36327e+02 2.47540e+06
5.82527e+03 1.36696e+02 2.47540e+06
5.69486e+03 1.37065e+02 2.47540e+06
5.56675e+03 1.37440e+02 2.47540e+06
5.44086e+03 1.37821e+02 2.47540e+06
5.31712e+03 1.38204e+02 2.47540e+06
5.19526e+03 1.38577e+02 2.47540e+06
5.07683e+03 1.38943e+02 2.47540e+06
4.96101e+03 1.39306e+02 2.47540e+06
4.84717e+03 1.39669e+02 2.47540e+06
4.73588e+03 1.40027e+02 2.47540e+06
4.62765e+03 1.40381e+02 1.52959e+06
4.52210e+03 1.58095e+02 1.52959e+06
1.01108e+03 1.58738e+02 1.52959e+06
1.23009e+03 1.58487e+02 1.52959e+06
1.23931e+03 1.58340e+02 1.52959e+06
1.23862e+03 1.58268e+02 1.52959e+06
1.23388e+03 1.58247e+02 1.52959e+06
1.22654e+03 1.58254e+02 1.52959e+06
1.21767e+03 1.58272e+02 1.52959e+06
1.20786e+03 1.58301e+02 1.52959e+06
1.19753e+03 1.58349e+02 1.52959e+06
1.18707e+03 1.58409e+02 1.52959e+06
1.17647e+03 1.58477e+02 1.52959e+06
1.16596e+03 1.58549e+02 1.52959e+06
1.15553e+03 1.58621e+02 1.52959e+06
1.14510e+03 1.58692e+02 1.52959e+06
1.13471e+03 1.58760e+02 1.52959e+06
1.12446e+03 1.58830e+02 1.52959e+06
1.11443e+03 1.58902e+02 1.52959e+06
1.10446e+03 1.58976e+02 1.52959e+06
1.09448e+03 1.59052e+02 1.26542e+06
1.08450e+03 1.65844e+02 1.26542e+06
4.95476e+02 1.70209e+02 1.26542e+06
4.81599e+02 1.70054e+02 1.26542e+06
4.73418e+02 1.69944e+02 1.26542e+06
4.66794e+02 1.69888e+02 1.26542e+06
4.61863e+02 1.69858e+02 1.26542e+06
4.57979e+02 1.69832e+02 1.26542e+06
4.54564e+02 1.69816e+02 1.26542e+06
4.51451e+02 1.69810e+02 1.26542e+06
4.48411e+02 1.69811e+02 1.26542e+06
4.45403e+02 1.69814e+02 1.26542e+06
4.42488e+02 1.69822e+02 1.26542e+06
4.39712e+02 1.69833e+02 1.26542e+06
4.36964e+02 1.69846e+02 1.26542e+06
4.34243e+02 1.69859e+02 1.26542e+06
4.31641e+02 1.69871e+02 1.26542e+06
4.29110e+02 1.69880e+02 1.26542e+06
4.26619e+02 1.69891e+02 1.26542e+06
4.24236e+02 1.69902e+02 1.26542e+06
4.21893e+02 1.69914e+02 1.19767e+06
4.19645e+02 1.70003e+02 1.19767e+06
3.88936e+02 1.70317e+02 1.19767e+06
