#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   2.50034e+07       308740
        0.01   2.44962e+07       300297
        0.02   2.30438e+07       278353
        0.03   2.08396e+07       249324
        0.04   1.81545e+07       217996
        0.05   1.52773e+07       188345
        0.06   1.24605e+07       162900
        0.07   9.88639e+06       147045
        0.08    7.6567e+06       139434
        0.09     5.804e+06       133707
         0.1   4.31346e+06       124620
        0.11    3.1459e+06       111429
        0.12   2.25455e+06      96282.3
        0.13   1.59335e+06      81641.4
        0.14   1.11934e+06      69145.4
        0.15        792404      58831.6
        0.16        575446      49650.7
        0.17        435670      41433.9
        0.18        346466      33611.3
        0.19        288504      25850.3
         0.2        249361      19047.1
        0.21        221847      14716.3
        0.22        201902      11890.2
        0.23        186906      9987.91
        0.24        174867       8459.7
        0.25        164338      7161.75
        0.26        154592      6266.19
        0.27        145656      5895.48
        0.28        138023      5887.34
        0.29        132196      5924.55
         0.3        128312      5781.52
        0.31        126050      5420.18
        0.32        124809      4930.94
        0.33        124011      4408.65
        0.34        123327      3889.26
        0.35        122729      3403.83
        0.36        122361      3103.48
        0.37        122364      2876.61
        0.38        122732      2716.23
        0.39        123290      2599.08
         0.4        123753      2506.12
        0.41        123833      2435.27
        0.42        123327       2393.7
        0.43        122163      2380.93
        0.44        120407      2380.82
        0.45        117930      2413.38
        0.46        115681      2199.67
        0.47        113618      2179.37
        0.48        111311      2021.27
        0.49        110349       1964.2
         0.5        110397      1836.82
        0.51        110616       1829.8
        0.52        111760      1810.54
        0.53        114529      1735.64
        0.54        117675      1695.56
        0.55        122117      1771.43
        0.56        125649      1752.33
        0.57        128679       1729.6
        0.58        130462      1729.37
        0.59        130906      1740.27
         0.6        130169      1753.49
        0.61        128426      1618.59
        0.62        125142      1539.62
        0.63        121264      1542.56
        0.64        116669      1412.56
        0.65        111834      1387.57
        0.66        106485      1337.09
        0.67        101782      1306.67
        0.68       96707.2      1284.83
        0.69       92356.6      1291.94
         0.7       88576.7      1253.62
        0.71       84671.9      1256.83
        0.72         81353      1250.73
        0.73       77816.5      1233.35
        0.74       74346.5      1320.71
        0.75         70958      1294.81
        0.76       68128.4      1233.48
        0.77       65662.5      1156.99
        0.78       63280.1      1113.59
        0.79       61627.4      1015.68
         0.8         60365      978.897
        0.81       59563.9      963.774
        0.82         58869      956.253
        0.83       58417.6      954.382
        0.84       57996.4      950.545
        0.85       57584.7      946.621
        0.86       57105.1      944.002
        0.87       56224.5      930.481
        0.88       55143.4      917.284
        0.89       53922.3      906.627
         0.9         52559      864.937
        0.91       50898.2      864.383
        0.92       49505.4      819.396
        0.93       48571.3      794.421
        0.94       47911.9      769.477
        0.95       47838.4      749.352
        0.96       47821.8      761.051
        0.97       48018.3      755.534
        0.98       48120.2      772.502
        0.99       48350.2      769.162
           1       48148.2      791.361
