#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   2.50034e+07       308740
        0.02   2.30438e+07       278353
        0.04   1.81545e+07       217996
        0.06   1.24605e+07       162900
        0.08    7.6567e+06       139434
         0.1   4.31346e+06       124620
        0.12   2.25455e+06      96282.3
        0.14   1.11934e+06      69145.4
        0.16        575446      49650.7
        0.18        346466      33611.3
         0.2        249361      19047.1
        0.22        201902      11890.2
        0.24        174867       8459.7
        0.26        154592      6266.19
        0.28        138023      5887.34
         0.3        128312      5781.52
        0.32        124809      4930.94
        0.34        123327      3889.26
        0.36        122361      3103.48
        0.38        122732      2716.23
         0.4        123753      2506.12
        0.42        123327       2393.7
        0.44        120407      2380.82
        0.46        115681      2199.67
        0.48        111311      2021.27
         0.5        110397      1836.82
        0.52        111760      1810.54
        0.54        117675      1695.56
        0.56        125649      1752.33
        0.58        130462      1729.37
         0.6        130169      1753.49
        0.62        125142      1539.62
        0.64        116669      1412.56
        0.66        106485      1337.09
        0.68       96707.2      1284.83
         0.7       88576.7      1253.62
        0.72         81353      1250.73
        0.74       74346.5      1320.71
        0.76       68128.4      1233.48
        0.78       63280.1      1113.59
         0.8         60365      978.897
        0.82         58869      956.253
        0.84       57996.4      950.545
        0.86       57105.1      944.002
        0.88       55143.4      917.284
         0.9         52559      864.937
        0.92       49505.4      819.396
        0.94       47911.9      769.477
        0.96       47821.8      761.051
        0.98       48120.2      772.502
           1       48148.2      791.361
        1.02       47715.7      788.053
        1.04       47963.8       790.55
        1.06       49299.3      807.417
        1.08         51216      858.044
         1.1       53403.8      914.084
        1.12       56384.5      892.857
        1.14       61032.3      918.284
        1.16       66532.5      939.469
        1.18       72144.1      927.487
         1.2       77768.8      903.093
        1.22       84375.8      919.738
        1.24       90581.2      977.038
        1.26       95846.3      1023.74
        1.28        100480      1105.32
         1.3        105427      1172.55
        1.32        109576      1185.75
        1.34        112734      1159.84
        1.36        115361      1107.24
        1.38        118055      1086.68
         1.4        119339      1130.64
        1.42        119250      1103.17
        1.44        118823      1086.85
        1.46        118675      1118.35
        1.48        117984      1115.82
         1.5        117319      1131.67
        1.52        117589       1119.7
        1.54        118635      1126.47
        1.56        119493      1134.61
        1.58        119782      1141.79
         1.6        119692      1144.28
        1.62        117827      1137.37
        1.64        115072      1165.75
        1.66        112242      1153.44
        1.68        109771      1139.96
         1.7        106947      1143.34
        1.72        104190      1152.38
        1.74        102182      1154.12
        1.76        100100      1160.19
        1.78       96945.5      1171.18
         1.8         93093      1180.36
        1.82       89335.1      1173.42
        1.84       86251.6      1158.78
        1.86       83881.2      1131.08
        1.88       82112.2      1101.51
         1.9       81054.8      1103.78
        1.92       80046.3      1117.94
        1.94       78781.1      1139.49
        1.96       76992.2      1129.98
        1.98       75346.4      1115.14
           2       72732.8      1118.12
